CHARGE,CHARGE_TYPE_CLASSIFICATION
DOMESTIC BATTERY,misdemeanor
UNDERAGE CONSUMPTION,misdemeanor
RECKLESS DRIVING,misdemeanor
EVERY OWNER OR REGISTRANT OF A MOTOR VEHICLE REQUIRED TO BE REGISTERED AND LICENSED IN THIS STATE,misdemeanor
ACCIDENTS INVOLVING DAMAGE TO VEHICLE,misdemeanor
REGISTRATION VIOLATION,misdemeanor
POSSESSION OF CONTROLLED SUBSTANCE LESS THAN 15 GRAMS,misdemeanor
OPERATORS,misdemeanor
POSSESSION OF A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
POSSESSION OF A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
PUBLIC INTOXICATION,misdemeanor
FUGITIVE FROM JUSTICE,felony
FUGITIVE FROM JUSTICE,felony
DISORDERLY CONDUCT,misdemeanor
PUBLIC INTOXICATION,misdemeanor
DISORDERLY CONDUCT,misdemeanor
EXPIRED INSURANCE,misdemeanor
NO PROOF OF INSURANCE,misdemeanor
OPERATION WITHOUT CERT INSPECTION OR FAILURE TO PRODUCE CERTIFICATE;PENALTY FOR MISDEMEANOR,misdemeanor
BATTERY ON A GOVERNMENT REPRESENTATIVE,misdemeanor
PUBLIC INTOXICATION,misdemeanor
DOMESTIC ASSAULT,misdemeanor
DOMESTIC BATTERY,misdemeanor
DRIVING UNDER THE INFLUENCE,misdemeanor
SHOPLIFTING,misdemeanor
DRIVING WHILE LICENSE SUSPENDED OR REVOKED,misdemeanor
DOMESTIC ASSAULT,misdemeanor
DOMESTIC BATTERY,misdemeanor
EXPIRED REGISTRATION,misdemeanor
OPERATION WITHOUT CERT INSPECTION OR FAILURE TO PRODUCE CERTIFICATE;PENALTY FOR MISDEMEANOR,misdemeanor
WANTON ENDANGERMENT INVOLVING THE USE OF FIRE DURING MANUFACTURING ILLEGAL CONTROLLED SUBSTANCE,misdemeanor
BURGLARY BY ENTERING WITHOUT BREAKING,felony
OPERATION OF VEHICLES WITHOUT EVIDENCES OF REGISTRATION,misdemeanor
DRIVING WHILE LICENSE SUSPENDED OR REVOKED; GENERAL,misdemeanor
DELIVERY OF HEROIN,felony
DRIVING SUSPENDED/REVOKED FOR NON-DRIVING UNDER THE INFLUENCE OFFENSE,misdemeanor
FIRST DEGREE ROBBERY OR ATTEMPTED ROBBERY,felony
LEFT OF CENTER,misdemeanor
CONSPIRACY TO COMMIT AN OFFENSE AGAINST THE STATE,felony
PETIT LARCENY,misdemeanor
CONSPIRACY TO COMMIT AN OFFENSE AGAINST THE STATE,felony
DRIVING UNDER THE INFLUENCE SECOND OFFENSE,misdemeanor
DRIVING A VEHICLE WHILE IN AN IMPAIRED STATE,misdemeanor
DRIVING WHILE LICENSE REVOKED FOR DRIVING UNDER THE INFLUENCE OFFENSE FIRST OFFENSE,misdemeanor
DRIVING WHILE LICENSE SUSPENDED OR REVOKED; GENERAL,misdemeanor
UNLAWFUL ACTS OF PERSONS. NONINTOXICATED BEER (18-21),misdemeanor
KNOWINGLY OR INTENTIONALLY POSSESSING A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
DRIVING WHILE REVOKED FOR DUI 3RD OFFENSE,felony
PUBLIC INTOXICATION,misdemeanor
DRIVING WHILE LICENSE REVOKED FOR DRIVING UNDER THE INFLUENCE,misdemeanor
IMPROPER USE OF EVIDENCES OF REGISTRATION,misdemeanor
TIRE EQUIPMENT RESTRICTIONS,misdemeanor
DRIVING WHILE REVOKED FOR DUI,misdemeanor
DISORDERLY CONDUCT,misdemeanor
NO VEHICLE INSURANCE,misdemeanor
BATTERY ON AN OFFICER,misdemeanor
OBSTRUCTING AN OFFICER,misdemeanor
OPERATION WITHOUT CERTIFIED INSPECTION OR FAILURE TO PRODUCE CERTIFICATE,misdemeanor
DRIVING SUSPENDED/REVOKED-GENERAL,misdemeanor
NO INSURANCE,misdemeanor
OPERATION WITHOUT CERT INSPECTION OR FAILURE TO PRODUCE CERTIFICATE;PENALTY FOR MISDEMEANOR,misdemeanor
CONSPIRACY,felony
MANUFACTURE/DELIVER/POSSESS WITH INTENT TO MANUFACTURE/DELIVER POSSESS CONTROLLED SUBSTANCE,felony
POSSESSION OF A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
POSSESSION OF A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
SHOPLIFTING FIRST OFFENSE,misdemeanor
RECKLESS DRIVING,misdemeanor
KNOWINGLY OR INTENTIONALLY POSSESSING A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
AIDING ESCAPE AND OTHER OFFENSES RELATING TO ADULTS AND JUVENILES,misdemeanor
"TRANSPORTATION OF PROHIBITED ITEMS ONTO GROUNDS OF JAIL, CORRECTIONAL FACILITY OR DETENTION CENTER",felony
AIDING ESCAPE AND OTHER OFFENSES RELATING TO ADULTS AND JUVENILES,misdemeanor
AIDING ESCAPE AND OTHER OFFENSES RELATING TO ADULTS AND JUVENILES,felony
SHOPLIFTING,misdemeanor
IMPROPER REGISTRATION,misdemeanor
DEFECTIVE EQUIPMENT,misdemeanor
EXP MVI,misdemeanor
DRIVING SUSPENDED/REVOKED GENERAL,misdemeanor
NO VEHICLE INSURANCE,misdemeanor
DOMESTIC BATTERY,misdemeanor
DRIVING ON A SUSPENDED/REVOKED LICENSE-GENERAL,misdemeanor
DELIVERY CONTROLLED SUBSTANCE,felony
CONSPIRACY,felony
DRIVING SUSPENDED/REVOKED FOR DRIVING UNDER THE INFLUENCE OFFENSE SECOND OFFENSE,misdemeanor
DELIVERING A CONTROLLED SUBSTANCE (COCAINE),felony
AGGRAVATED DRIVING UNDER THE INFLUENCE,misdemeanor
DRIVING UNDER THE INFLUENCE SECOND OFFENSE,misdemeanor
SPEEDING,misdemeanor
DRIVING WHILE LICENSE REVOKED FOR DRIVING UNDER THE INFLUENCE OFFENSE,misdemeanor
OPERATION WITHOUT CERTIFICATE OF INSPECTION,misdemeanor
DESTRUCTION OF PROPERTY,felony
SHOPLIFTING,misdemeanor
UNLAWFUL TAKING OF A VEHICLE,misdemeanor
UNDERAGE CONSUMPTION OF ALCOHOL,misdemeanor
GRAND LARCENY,felony
GRAND LARCENY,felony
BREAKING AND ENTERING,felony
DOMESTIC BATTERY,misdemeanor
PETIT LARCENY,misdemeanor
PETIT LARCENY,misdemeanor
GRAND LARCENY,felony
PETIT LARCENY,misdemeanor
PUBLIC INTOXICATION,misdemeanor
PETIT LARCENY,misdemeanor
CONSPIRACY,misdemeanor
KNOWINGLY OR INTENTIONALLY POSSESSING A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
12. TRUANCY,misdemeanor
5. TRUANCY,misdemeanor
23. TRUANCY,misdemeanor
14. TRUANCY,misdemeanor
13. TRUANCY,misdemeanor
24. TRUANCY,misdemeanor
25. TRUANCY,misdemeanor
2. TRUANCY,misdemeanor
21. TRUANCY,misdemeanor
3. TRUANCY,misdemeanor
17. TRUANCY,misdemeanor
9. TRUANCY,misdemeanor
8. TRUANCY,misdemeanor
19. TRUANCY,misdemeanor
1. TRUANCY,misdemeanor
15. TRUANCY,misdemeanor
4. TRUANCY,misdemeanor
11. TRUANCY,misdemeanor
20. TRUANCY,misdemeanor
10. TRUANCY,misdemeanor
6. TRUANCY,misdemeanor
18. TRUANCY,misdemeanor
26. TRUANCY,misdemeanor
16. TRUANCY,misdemeanor
7. TRUANCY,misdemeanor
22. TRUANCY,misdemeanor
POSSESSION OF A CONTROLLED SUBSTANCE (MARIHUANA),misdemeanor
POSSESSION OF A CONTROLLED SUBSTANCE (MARIJUANA),misdemeanor
POSSESSION WITH INTENT TO DELIVER,felony
OPERATION WITHOUT CERT INSPECTION OR FAILURE TO PRODUCE CERTIFICATE;PENALTY FOR MISDMEANOR,misdemeanor
OPERATION OF VEHICLES WITH SAFETY BELTS,misdemeanor
DESTRUCTION OF PROPERTY,misdemeanor
DUI 3RD OFFENSE,felony
DISORDERLY CONDUCT,misdemeanor
POSSESSION CONTROLLED SUBSTANCE XANAX,misdemeanor
DRIVING WITH BLOOD ALCOHOL CONCENTRATION OF MORE THAN .08 3RD OFFENSE,felony
PUBLIC INTOXICATION,misdemeanor
BATTERY ON POLICE OFFICER,misdemeanor
DRIVING UNDER THE INFLUENCE 2ND OFFENSSE,misdemeanor
PUBLIC INTOXICATION,misdemeanor
CONSPIRACY,felony
CHILD CONCEALMENT,felony
CHILD CONCEALMENT,felony
CHILD CONCEALMENT,felony
TRUANCY,misdemeanor
POSSESSION OF CONTROLLED SUBSTANCE LESS THAN 15 GRAMS,misdemeanor
OBSTRUCT OFFICER,misdemeanor
GRAND LARCENY,misdemeanor
ASSAULT,misdemeanor
FUGITIVE FROM ANOTHER STATE,felony
HUNTING OR FISHING WITHOUT A LICENSE,misdemeanor
UNLAWFUL HUNTING METHODS,misdemeanor
PETIT LARCENY,misdemeanor
SHOPLIFTING,misdemeanor
PETIT LARCENY,misdemeanor
SHOPLIFTING,misdemeanor
1ST DEGREE MURDER/ACCESSORY AFTER THE FACT,felony
61:MISDEMEANOR CHARGE OF DISPOSAL OF PERSONAL PROPERTY,misdemeanor
FRAUDULENT DISPOSITION OF PERSONAL PROPERTY,felony
FRAUDULENT DISPOSAL OF PERSONAL PROPERTY UNDER LEASE,felony
FRAUDULENT DISPOSAL OF PERSONAL PROPERTY UNDER LEASE,misdemeanor
DRIVING WHILE LICENSE SUSPENDEDOR REVOKED; GENERAL,misdemeanor
DRIVING SUSPENDED FOER MISC,petty_offense
SUSPENDED,misdemeanor
NO MOTOR VEHICLE INSPECTION,misdemeanor
KNOWINGLY OR INTENTIONALLY POSSESSING A CONTROLLED SUBTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
VIOLATION OF A FAMILY PROTECTIVE ORDER,misdemeanor
CONTRIBUTING TO DELINQUENCY OF MINOR,misdemeanor
USING CELL PHONE OR ELECTRONIC COMMUNICATIONS DEVICE WITHOUT HANDS FREE EQUIPMENT WHILE DRIVING,misdemeanor
USING A CELL PHONE WITHOUT HANDS-FREE EQUIPMENT,misdemeanor
POSSESSION OF A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
NO INSURANCE,misdemeanor
DRIVING UNDER THE INFLUENCE,misdemeanor
SUSPENDED/REVOKED OPERATORS - DUI,misdemeanor
DRIVING SUSPENDED/REVOKED FOR DUI,misdemeanor
"MAKING FALSE STATEMENT TO OFFICER, PENALTIES;DEFINITIONS",misdemeanor
MISDEMEANOR OFFENSES FOR VIOLATION OF PROTECTIVE ORDER PENALTIES (2ND OFFENSE),misdemeanor
BATTERY,misdemeanor
VIOLATION OF PROTECTIVE ORDER,misdemeanor
DRIVING A VEHICLE WHILE IN AN IMPAIRED STATE,misdemeanor
"MISDEMEANOR OFFENSES FOR VIOLATION OF PROTECTIVE ORDER,REPEAT OFFENSES;PENALTIES",misdemeanor
DRIVING SUSPENDED/REVOKED GENERAL,misdemeanor
"MISDEMEANOR OFFENSES FOR VIOLATION OF PROTECTIVE ORDER, REPEAT OFFENSES;PENALTIES",misdemeanor
"MISDEMEANOR OFFESES FOR VIOLATION OF PROTECTIVE ORDER,REPEAT OFFENSES;PENALTIES",misdemeanor
DOMESTIC BATTERY,misdemeanor
DOMESTIC BATTERY,misdemeanor
FUGITIVE WARRANT(VIOLATE PAROLE TO WIT:LARCENY),felony
OPERATION WITHOUT CERT INSPECTION OR FAILURE TO PRODUCE CERTIFICATE;PENALTY FOR MISDEMEANOR,misdemeanor
NEW OWNER MUST SECURE REGISTRATION AND CERTIFICATES OF TITLE,misdemeanor
BROKE WINDSHIELD,misdemeanor
SPEED LIMITATIONS GENERALLY;PENALTY (10 MPH OR LESS ABOVE),misdemeanor
"MAKING, ISSUING, WORTHLESS CHECK",misdemeanor
"MAKING, ISSUING, WORTHLESS CHECK",misdemeanor
DOMESTIC BATTERY,misdemeanor
"MAKING, ISSUING, WORTHLESS CHECK",misdemeanor
"MAKING, ISSUING, WORTHLESS CHECK",misdemeanor
DOMESTIC BATTERY,misdemeanor
CRUELTY TO ANIMALS; PENALTIES (MISTREAT MISDEMEANOR),misdemeanor
FUGITIVE FROM JUSTICE,petty_offense
FUGITIVE FROM JUSTICE,petty_offense
UNLAWFUL DISPOSAL OF LITTER ON OWNERS PRIVATE PROPERTY LESS THAN FIFTY POUNDS,misdemeanor
SELLING ALCOHOL TO MINOR,misdemeanor
KNOWINGLY OR INTENTIONALLY POSSESSING A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
STRANGULATION,felony
OPERATION WITHOUT CERTIFICATE OF INSPECTION,misdemeanor
DRIVING SUSPENDED / REVOKED,misdemeanor
6. SEXUAL ASSAULT IN THE THIRD DEGREE,felony
10. SEXUAL ASSAULT IN THE THIRD DEGREE,felony
POSSESSION OF HEROIN,misdemeanor
7. SEXUAL ASSAULT IN THE THIRD DEGREE,felony
8. SEXUAL ASSAULT IN THE THIRD DEGREE,felony
POSSESSION OF COCAINE,misdemeanor
5. SEXUAL ASSAULT IN THE THIRD DEGREE,felony
2. SEXUAL ASSAULT IN THE THIRD DEGREE,felony
9. SEXUAL ASSAULT IN THE THIRD DEGREE,felony
3. SEXUAL ASSAULT IN THE THIRD DEGREE,felony
4. SEXUAL ASSAULT IN THE THIRD DEGREE,felony
1. DOMESTIC BATTERY,misdemeanor
KNOWINGLY OR INTENTIONALLY POSSESSING A CONTROLLED SUBSTANCEWITHOUT A VALID PRESCRIPTION,misdemeanor
DOMESTIC BATTERY,misdemeanor
SPEEDING,misdemeanor
RECKLESS DRIVING,misdemeanor
COUNTERFEITING(BOUND OVER),felony
TRESPASSING ON PROPERTY OTHER THAN STRUCTURE/CONVEYANCE,misdemeanor
INTERFERENCE WITH OFFICERS /MEMBERS (WVSP) FALSE INFORMATION,misdemeanor
ENTERING WITHOUT BREAKING OF DWELLING OR OUTHOUSE,felony
BREAKING AND ENTERING,felony
FUGITIVE FROM JUSTICE,unknown
RECEIVING/TRANSPORTING STOLEN PROPERTY,felony
PETIT LARCENY,misdemeanor
FUGITIVE FROM JUSTICE,unknown
CONSPIRACY,felony
SPEEDING,misdemeanor
DRIVING WHILE LICENSE SUSPENDED OR REVOKED; GENERAL,misdemeanor
POSSESSION OF A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
UNLAWFUL ACTS OF PERSONS; NONINTOXICATED BEER (18-21),misdemeanor
DISORDERLY CONDUCT,misdemeanor
DRIVING WHILE LICENSE SUSPENDED OR REVOKED; GENERAL,misdemeanor
POSSESSION OF MARIJUANA,misdemeanor
CHILD PASSENGER SAFETY DEVICES REQUIRED,misdemeanor
DRIVING WHILE LICENSE SUSPENDED OR REVOKED; GENERAL,misdemeanor
KNOWINGLY OR INTENTIONALLY POSSESSING A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
FALSE CERTIFICATES,misdemeanor
NEW OWNER MUST SECURE REGISTRATION AND CERTIFICATES OF TITLE,misdemeanor
IMPROPER USE OF EVIDENCES OF REGISTRATION,misdemeanor
NO INSURANCE,misdemeanor
NO INSURANCE,misdemeanor
"FORGERY, UTTERING OR ATTEMPTING TO EMPLOY AS TRUE, A FORGED WRITING TO THE PREJUDICE OF ANOTHER",felony
KNOWINGLY OR INTENTIONALLY POSSESSING A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
SIMPLE POSS METH,misdemeanor
IMPROPER USE OF EVIDENCES OF REGISTRATION,misdemeanor
IMPROPER USE OF EVIDENCES OF REGISTRATION,misdemeanor
KNOWINGLY OR INTENTIONALLY POSSESSING A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
TAKING IDENTITY OF ANOTHER PERSON,felony
RECEIVING/TRANSFERRING STOLEN GOODS,misdemeanor
FRAUDULENT MVI,misdemeanor
UNLAWFUL ACTS OF LICENSES- BEER SALES UNDER 21,misdemeanor
DRIVING SUSPENDED/REVOKED FOR NON-DRIVING UNDER THE INFLUENCE OFFENSE SECOND OFFENSE,misdemeanor
FUGITIVE FROM JUSTICE,petty_offense
UNLAWFUL INJURY TO OR DESTRUCTION OF PROPERTY,misdemeanor
DESTRUCTION OF PROPERTY,misdemeanor
DELIVERY OF A CONTROLLED SUBSTANCE - HEROIN,felony
BURGLARY,felony
FRAUDULENT POSSESSION OF ACCESS DEVICE,felony
BURGLARY,felony
DOMESTIC BATTERY,misdemeanor
BURGLARY,felony
PROHIBITED POSSESSION OF FIREARM,misdemeanor
FRAUDULENT USE OF ACCESS DEVICE,felony
UNLAWFUL TAKING OF A VEHICLE,felony
CONSPIRACY TO COMMIT BURGLARY,felony
PETIT LARCENY,misdemeanor
PETIT LARCENY,misdemeanor
POSSESSION OF BENZODIAZEPINES,misdemeanor
GRAND LARCENY,felony
CONSPIRACY TO COMMIT BURGLARY,felony
CONSPIRACY TO COMMIT FRAUDULENT USE OF ACCESS DEVICE,felony
CONSPIRACY TO COMMIT DELIVERY OF A CONTROLLED SUBSTANCE - HEROIN,felony
CONSPIRACY TO COMMIT BURGLARY,felony
KNOWINGLY OR INTENTIONALLY POSSESSING A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
KNOWINGLY OR INTENTIONALLY POSSESSING A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
PUBLIC INTOXICATION,misdemeanor
OPEN DUMPING,misdemeanor
BATTERY ON A HEALTH CARE PROVIDER,misdemeanor
DOMESTIC BATTERY,misdemeanor
FAILURE TO REGISTER OR PROVIDE NOTICE OF REGISTRATION CHANGES(LIFE REGISTRATION)),felony
GRAND LARCENY,felony
1ST DEGREE ROBBERY,felony
EXPIRED REGISTRAITON,misdemeanor
NO PROOF OF INSURANCE,misdemeanor
UNLAWFUL ACTS OF PERSONS - NONINTOXICATED BEER (18-21),misdemeanor
KNOWINGLY OR INTENTIONALLY POSSESSING A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
"MAKING, ISSUING, WORTHLESS CHECK",misdemeanor
"MAKING, ISSUING, WORTHLESS CHECK",misdemeanor
DOMESTIC BATTERY,misdemeanor
DRIVING SUSPENDED/REVOKED NON-DUI,misdemeanor
DEFECTIVE EQUIPMENT,petty_offense
MOTOR VEHICLE INSPECTION,petty_offense
DRIVING SUSPENDED/REVOKED NON-DUI,misdemeanor
DOMESTIC BATTERY,misdemeanor
FAILURE TO APPEAR,misdemeanor
WORTHLESS CHECK,misdemeanor
WORTHLESS CHECK,misdemeanor
WORTHLESS CHECK,misdemeanor
WORTHLESS CHECK,misdemeanor
NO VEHICLE INSURANCE,misdemeanor
NO PROOF OF INSURANCE,misdemeanor
TRUANCY - 2ND OFFENSE,misdemeanor
TRUANCY - 2ND OFFENSE,misdemeanor
DRIVING WHILE LICENSE SUSPENDED / REVOKED; GENERAL,misdemeanor
TRUANCY - 2ND OFFENSE,misdemeanor
NO PROOF OF INSURANCE,misdemeanor
TRUANCY - 2ND OFFENSE,misdemeanor
FORGERY,felony
PETIT LARCENY,misdemeanor
UTTERING,felony
UTTERING,felony
FORGERY,felony
ATTEMPT TO COMMIT A FELONY,felony
UTTERING,felony
UTTERING,felony
FORGERY,felony
FORGERY,felony
PUBLIC INTOXICATED,misdemeanor
UNDERAGE CONSUMPTION ALCOHOL,misdemeanor
SRO MISC,misdemeanor
RIGHT OF WHITE LINE,misdemeanor
FAIL TO REGISTER AS SEX OFFENDER,felony
FAIL TO REGISTER AS SEX OFFENDER,felony
FAIL TO REGISTER AS SEX OFFENDER,felony
FAIL TO REGISTER AS SEX OFFENDER,felony
FAIL TO REGISTER AS SEX OFFENDER,felony
POSSESSION OF MATERIAL DEPICTING A MINOR ENGAGED IN SEXUALLY EXPLICIT CONDUCT,felony
POSSESSION OF CHILD PORNOGRAPHY,felony
DRIVING SUSPENDED/REVOKED NON-DUI,misdemeanor
FAIL TO REGISTER AS SEX OFFENDER,felony
IMPROPER REGISTRATION,misdemeanor
IMPROPER INSPECTION,misdemeanor
1. DRIVING UNDER THE INFLUENCE,misdemeanor
3. NO VEHICLE INSURANCE,misdemeanor
2. IMPROPER USE OF EVIDENCES OF REGISTRATION,misdemeanor
4. REFUSAL TO FINGERPRINT,misdemeanor
5. DRIVING WHILE LICENSE REVOKED FOR DRIVING UNDER THE INFLUENCE OFFENSE,misdemeanor
DOMESTIC BATTERY,misdemeanor
FAILURE TO PRODUCE OPERATORS,misdemeanor
OPERATION WITHOUT CERT INSPECTION OR FAILURE TO PRODUCE CERTIFICATE; PENALTY FOR MISDEMEANOR,misdemeanor
IMPROPER USE OF EVIDENCES OF REGISTRATION,misdemeanor
"REGISTRATION CARD TO BE SIGNED, CARRIED AND EXHIBITED ON DEMAND(REGIST UNSIGNED)",misdemeanor
FALSE REPRESENTATIONS,misdemeanor
FALSE REPRESENTATIONS,misdemeanor
POSSESSION CONTROLLED SUBSTANCE LESS THAN 15 GRAMS,misdemeanor
FALSE REPRESENTATIONS,misdemeanor
FALSE REPRESENTATIONS,misdemeanor
FALSE REPRESENTATIONS,misdemeanor
FALSE REPRESENTATIONS,misdemeanor
FALSE REPRESENTATIONS,misdemeanor
FALSE REPRESENTATIONS,misdemeanor
FALSE REPRESENTATIONS,misdemeanor
FALSE REPRESENTATIONS,misdemeanor
STRANGULATION OF ANOTHER WITHOUT THEIR CONSENT,felony
DOMESTIC BATTERY,misdemeanor
STOP SIGN VIOLATION,misdemeanor
BRIBERY,felony
UNLAWFUL/MALICIOUS WOUNDING,felony
NO SEATBELTS,misdemeanor
KNOWINGLY OR INTENTIONALLY POSSESSING A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
POSSESSION CONTROLLED SUBSTANCE,misdemeanor
CELL PHONE VIOLATION,misdemeanor
DRIVING UNDER INFLUENCE 2ND OFFENSE,misdemeanor
DOMESTIC BATTERY,misdemeanor
OBSTRUCTING OFFICER,misdemeanor
UNLAWFUL DISPOSAL OF LITTER-PUBLIC HIGHWAY/WATERWAY,misdemeanor
DRIVING UNDER THE INFLUENCE WITH A BLOOD ALCOHOL CONTENT <.15,misdemeanor
KNOWINGLY OR INTENTIONALLY POSSESSING A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
DUI 1ST OFFENSES,misdemeanor
CONSPIRACY,felony
ENTRY OF BUILDING OTHER THAN DWELLING,felony
ATTEMPTING TO COMMIT AN OFFENSE BUT FAILING TO COMMIT OR PREVENTED FROM COMMITTING,misdemeanor
DOMESTIC BATTERY,misdemeanor
DOMESTIC BATTERY,misdemeanor
CONSPIRACY,felony
ROBBERY- 1ST DEGREE,felony
FLEEING FROM OFFICER,misdemeanor
FRAUDULENTLY OBTAINING FOOD OR LODGING,misdemeanor
DRIVING UNDER THE INFLUENCE - 3RD OFFENSE,felony
FRAUDULENT SCHEMES,misdemeanor
DRIVING WHILE LICENSE REVOKED- DRIVING UNDER THE INFLUENCE,misdemeanor
UNLAWFUL ACTS OF PERSONS; (FURNISHING MINOR),misdemeanor
BURGLARY,felony
WANTON ENDANGERMENT INVOLVING A FIREARM,felony
WANTON ENDANGERMENT INVOLVING A FIREARM,felony
WANTON ENDANGERMENT INVOLVING A FIREARM,felony
PETIT LARCENY;PENALTIES,misdemeanor
WANTON ENDANGERMENT INVOLVING A FIREARM,felony
WANTON ENDANGERMENT INVOLVING A FIREARM,felony
WANTON ENDANGERMENT INVOLVING A FIREARM,felony
DRIVING WHILE LICENSE SUS/REV FOR DUI,misdemeanor
WANTON ENDANGERMENT INVOLVING A FIREARM,felony
DESTRUCTION OF PROPERTY,misdemeanor
WANTON ENDANGERMENT INVOLVING A FIREARM,felony
VIOLATION OF PROTECTIVE ORDER,misdemeanor
WANTON ENDANGERMENT INVOLVING A FIREARM,felony
DRIVING UNDER THE INFLUENCE WITH INJURY,misdemeanor
WANTON ENDANGERMENT INVOLVING A FIREARM,felony
VIOLATION OF PROTECTIVE ORDER,misdemeanor
DRIVING UNDER THE INFLUENCE,misdemeanor
COMPULSORY EDUCATION OF OFFENSES;PENALTIES;COST OF PROSECUTION.TRUANCY,misdemeanor
DOMESTIC BATTERY,misdemeanor
SEXUAL ASSAULT 1ST DEGREE,felony
SEXUAL ABUSE BY CUSTODIAL,felony
SEXUAL ABUSE 1ST DEGREE,felony
SEXUAL ABUSE BY CUSTODIAL,felony
SEXUAL ASSAULT 1ST DEGREE,felony
SEXUAL ABUSE 1ST DEGREE,felony
SECURE LOAD,misdemeanor
WINDSHIELDS MUST BE UNOBSTRUCTED,misdemeanor
DOMESTIC BATTERY - UNLAWFUL OR INTENTIONAL PHYSICAL CONTACT OR HARM TO FAMILY OR HOUSEHOLD MEMBER,misdemeanor
SPEEDING,misdemeanor
DEFECTIVE EQUIPMENT,misdemeanor
OPERATION OF VEHICLES WITHOUT EVIDENCES OF REGISTRATION,misdemeanor
DUI,misdemeanor
NO PROOF OF INSURANCE,misdemeanor
LEFT OF CENTER,misdemeanor
NO PROOF OF INSURANCE,misdemeanor
DOMESTIC BATTERY,misdemeanor
7. FAILURE TO OBEY A TRAFFIC-CONTROL DEVICE,misdemeanor
4. UNSAFE AND IMPROPERLY EQUIPPED VEHICLES,misdemeanor
3. NO INSURANCE,misdemeanor
11. DELIVERY OF OBSCENE MATERIALS VIA A COMPUTER,misdemeanor
1. POSSESSION OF A CONTROLLED SUBSTANCE,misdemeanor
4. DELIVERY OF OBSCENE MATERIALS VIA A COMPUTER,misdemeanor
1. DELIVERY OF OBSCENE MATERIALS VIA A COMPUTER,misdemeanor
2. OPERATING WITHOUT A CERTIFICATE OF INSPECTION,misdemeanor
10. DELIVERY OF OBSCENE MATERIALS VIA A COMPUTER,misdemeanor
6. DELIVERY OF OBSCENE MATERIALS VIA A COMPUTER,misdemeanor
6. UNSAFE AND IMPROPERLY EQUIPPED VEHICLES,misdemeanor
8. DELIVERY OF OBSCENE MATERIALS VIA A COMPUTER,misdemeanor
5. UNSAFE AND IMPROPERLY EQUIPPED VEHICLES,misdemeanor
5. DELIVERY OF OBSCENE MATERIALS VIA A COMPUTER,misdemeanor
3. DELIVERY OF OBSCENE MATERIALS VIA A COMPUTER,misdemeanor
2. DELIVERY OF OBSCENE MATERIALS VIA A COMPUTER,misdemeanor
9. DELIVERY OF OBSCENE MATERIALS VIA A COMPUTER,misdemeanor
7. DELIVERY OF OBSCENE MATERIALS VIA A COMPUTER,misdemeanor
DOMESTIC BATTERY,misdemeanor
DOMESTIC BATTERY,misdemeanor
"DRIVERS MUST BE LICENSED, MOTORCYCLE LICENSES, STATE ID",misdemeanor
KNOWINGLY OR INTENTIONALLY POSSESSING A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
KNOWINGLY OR INTENTIONALLY POSSESSING A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
DRIVING WHILE LICENSE REVOKED- DRIVING UNDER THE INFLUENCE,misdemeanor
DOMESTIC BATTERY- UNLAWFUL PHYSICAL CONTACT OF INSULTING/PROVOKING NATURE (FAMILY/HOUSEHOLD MEMBER),misdemeanor
DRIVING WHILE LICENSE REVOKED FOR DRIVING UNDER THE INFLUENCE,misdemeanor
SPEEDING LIMITATIONS,misdemeanor
REQUIRED SECURITY; (NO INSURANCE),misdemeanor
DRIVING WHILE LICENSE REVOKED- DRIVING UNDER THE INFLUENCE,misdemeanor
